EID,Link,topic
2-s2.0-85072566755,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072566755&doi=10.1155%2f2019%2f6961476&partnerID=40&md5=4533b155ca77f427b3bd03876be94a1f,
2-s2.0-85072402482,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072402482&doi=10.1016%2fj.promfg.2019.06.113&partnerID=40&md5=076e63203111978e4a3cb35b6be8935d,
2-s2.0-85071559281,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071559281&doi=10.22342%2fjme.10.3.7572.315-340&partnerID=40&md5=8f3c7115fff0faf7a2ce6b1cc9eaa314,
2-s2.0-85071450493,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071450493&doi=10.17576%2fjsm-2019-4807-02&partnerID=40&md5=822e458f081c2d1bbcf45b32a2adc3c8,
2-s2.0-85072179160,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072179160&partnerID=40&md5=afe3b580c5381d31eca730eb3b4719b2,
2-s2.0-85072103334,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072103334&doi=10.1504%2fIJHVS.2019.101891&partnerID=40&md5=d32adad61bedd0cbec50009d1d4843af,
2-s2.0-85071193981,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071193981&partnerID=40&md5=837d3b937e0ff810b7c8224a558d3f2b,
2-s2.0-85072384770,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072384770&doi=10.1016%2fj.prostr.2019.08.123&partnerID=40&md5=924b5b2a544a6e70138d893a067b20b8,
2-s2.0-85071451128,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071451128&doi=10.1007%2f978-981-13-1799-6_50&partnerID=40&md5=7392a1d64cf6bc401f8c73b490220606,
2-s2.0-85071944226,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071944226&doi=10.3390%2fpolym11091435&partnerID=40&md5=941ec0c83fc6e3f1f73fd4a505092dca,
2-s2.0-85071610033,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071610033&doi=10.35588%2fblacpma.19.18.5.35&partnerID=40&md5=3ba086f363d823a98a4f4386cc8ef40b,
2-s2.0-85071507653,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071507653&doi=10.1007%2f978-981-13-1799-6_62&partnerID=40&md5=8564e567039a5fade4ddc995a877c388,
2-s2.0-85072700684,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072700684&doi=10.9767%2fbcrec.14.3.5365.660-671&partnerID=40&md5=a16ebb190050c3396cd39075f72026d5,
2-s2.0-85072406094,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072406094&doi=10.1016%2fj.matpr.2019.06.027&partnerID=40&md5=35fc530654dfd83bfb92e8feff546215,
2-s2.0-85071441442,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071441442&doi=10.14233%2fajchem.2019.22195&partnerID=40&md5=544920da059d122b0a316328c0edc15c,
2-s2.0-85072576238,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072576238&doi=10.1016%2fj.matpr.2018.12.073&partnerID=40&md5=8fd8654d44001a32d4a903da054cc951,
2-s2.0-85071135260,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071135260&doi=10.1109%2fACCESS.2019.2932422&partnerID=40&md5=9625ff583c507510c7b3f553f1e8a19e,
2-s2.0-85072121056,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072121056&partnerID=40&md5=25d4271a703b04251b125f44e6880e35,
2-s2.0-85072554564,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072554564&doi=10.1016%2fj.matpr.2018.12.071&partnerID=40&md5=13702a134a2c942799d49d8b8f1020d1,
2-s2.0-85072400955,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072400955&doi=10.1016%2fj.prostr.2019.08.122&partnerID=40&md5=efdd0fb53d860734937f86a31a146ee9,
2-s2.0-85071690238,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071690238&doi=10.22146%2fijc.40106&partnerID=40&md5=9977d54f1ac9115f34d3ad0fd43c21e7,
2-s2.0-85071303704,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071303704&doi=10.11113%2fjt.v81.13536&partnerID=40&md5=706ade342bb1937e71587aab6dda0d6a,
2-s2.0-85072575685,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072575685&doi=10.1016%2fj.matpr.2018.12.052&partnerID=40&md5=e330cc5a1662e7ef7901a3e27a2bedf0,
2-s2.0-85071507704,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071507704&doi=10.1007%2f978-981-13-1799-6_17&partnerID=40&md5=308f44ae1e8f33ad74605c810c4a7080,
2-s2.0-85071882182,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071882182&doi=10.1007%2fs42452-018-0104-x&partnerID=40&md5=1ef4230455ea3701cf9204da61293664,
2-s2.0-85072227689,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072227689&partnerID=40&md5=4f9814f52e47a4ebce981b4ca190bd3f,
2-s2.0-85072563340,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072563340&doi=10.1016%2fj.matpr.2018.12.063&partnerID=40&md5=4041d8b19aad915de28ca7229b1e0801,
2-s2.0-85072702187,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072702187&doi=10.13189%2fujeee.2019.060401&partnerID=40&md5=c50e175ed2e1b8b96eb825bd81648c93,
2-s2.0-85072278906,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072278906&doi=10.1504%2fIJVICS.2019.102221&partnerID=40&md5=bd03e8c783c56eac04417ce4fadd2a79,
2-s2.0-85072225812,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072225812&partnerID=40&md5=6421caf6cc92c18ed56d21de1e9cb456,
2-s2.0-85071917192,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071917192&doi=10.3389%2ffmicb.2019.01851&partnerID=40&md5=7c397d07fee1027501b84072f5ef653b,
2-s2.0-85072565084,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072565084&doi=10.1016%2fj.matpr.2018.12.065&partnerID=40&md5=f8aa272f54008b23bf0aeef95df99d0d,
2-s2.0-85072383423,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072383423&doi=10.1016%2fj.matpr.2019.06.045&partnerID=40&md5=f29f43f972ae86e559cceecbaafef3f7,
2-s2.0-85071391250,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071391250&partnerID=40&md5=f3c4be4d852f203cdebd7b8b35746507,
2-s2.0-85071697673,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071697673&doi=10.22146%2fijc.36861&partnerID=40&md5=f11c7a2c7a22931d302cd6bd349f80f5,
2-s2.0-85071307233,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071307233&doi=10.11113%2fjt.v81.13135&partnerID=40&md5=8fb3097247b47316635d7113b09c1d4d,
2-s2.0-85072275030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072275030&doi=10.14569%2fijacsa.2019.0100865&partnerID=40&md5=1b8b9c0e4ab805e61d1b2031d34448ae,
2-s2.0-85071690326,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071690326&doi=10.22146%2fijc.42177&partnerID=40&md5=9c4355f87824fafac6b9286d3338df75,
2-s2.0-85071663786,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071663786&doi=10.11591%2fijece.v9i6.pp4540-4555&partnerID=40&md5=753d1e1636ff8b5d5fb49e0067480fc8,
2-s2.0-85071366153,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071366153&partnerID=40&md5=176066e6f4b5528c3880bdce9d43afbe,
2-s2.0-85072189158,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072189158&partnerID=40&md5=a9af536adbc7fe2c4360a48b1207c6a9,
2-s2.0-85072157915,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072157915&partnerID=40&md5=dd235e79ca36ba29451a97ac71078fe2,
2-s2.0-85072110351,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072110351&doi=10.1504%2fGBER.2019.101869&partnerID=40&md5=6d6c2455ab9935c8bf6c5ed284116e1e,
2-s2.0-85071427474,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071427474&doi=10.1007%2f978-981-13-1799-6_16&partnerID=40&md5=39194b165e75664040af4ec31958d6e2,
2-s2.0-85071383129,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071383129&partnerID=40&md5=66b4ceef063578afdcad9d74ddc8cc50,
2-s2.0-85071868618,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071868618&doi=10.2528%2fPIERM19052202&partnerID=40&md5=4372e33a03bcc21fbedab3c8deeb47b0,
2-s2.0-85071360323,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071360323&doi=10.11113%2fmjfas.v15n2019.1203&partnerID=40&md5=70f4a41638f343525f3d9b971738803a,
2-s2.0-85072039955,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072039955&doi=10.3991%2fijim.v13i09.9566&partnerID=40&md5=ea96de5c75a3c0031bc76865857538c3,
2-s2.0-85072402038,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072402038&doi=10.1016%2fj.matpr.2019.06.043&partnerID=40&md5=543a1d1a392079efdd0b4d872ebf26d6,
2-s2.0-85071428831,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071428831&partnerID=40&md5=4e64fe29efec876efe2ba1ab63f634bf,
2-s2.0-85072167395,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072167395&partnerID=40&md5=b46747c255fcab6d10ceb850ac601c6e,
2-s2.0-85071283830,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071283830&doi=10.11113%2fjt.v81.13439&partnerID=40&md5=8c1237d3eb7beb87a5f516a982ff2235,
